id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1159605062659760128,1159605062659760128,2019-08-08 23:19:26 UTC,2019-08-08,23:19:26,+0000,10550172,meigenbot,メイゲンボット,,あいちトリエンナーレについて 私はこう思いました:   https://t.co/XX5F10gtlM,ja,[],['https://anond.hatelabo.jp/20190809080943'],[],0,1,3,[],[],https://twitter.com/meigenbot/status/1159605062659760128,False,,0,,,,,,,,[],,,,
1119131031456505859,1119131031456505859,2019-04-19 06:50:05 UTC,2019-04-19,06:50:05,+0000,10550172,meigenbot,メイゲンボット,,電柱は大体沖縄電力かNTTの所有物なので @OKIDEN_Official 、 @NTTPR は被害届を出すべき。誹謗中傷に加担することになる上、ロゴ入り電柱番号とこのポスターが撮影されて拡散されると、ブランドイメージも毀損されるだろう /  https://t.co/gRvTbL4xnN,ja,"[{'screen_name': 'okiden_official', 'name': '沖縄電力株式会社', 'id': '1049927655498207232'}, {'screen_name': 'nttpr', 'name': 'ntt広報室', 'id': '123099998'}]",['https://htn.to/joRdZJYYWg'],[],0,1,7,[],[],https://twitter.com/meigenbot/status/1119131031456505859,False,,0,,,,,,,,[],,,,
1119129721348837376,1119129721348837376,2019-04-19 06:44:52 UTC,2019-04-19,06:44:52,+0000,10550172,meigenbot,メイゲンボット,,ポスターの件、Nシステムでも使って犯人を探すべきではないのか？こんなことを許していたら、疑心暗鬼、分断が起きて、対話と合意形成による民主主義が壊滅するよ。  https://t.co/4Hg4RL4gDZ,ja,[],['https://www.buzzfeed.com/jp/kensukeseya/okinawa-hosen1'],[],0,4,4,[],[],https://twitter.com/meigenbot/status/1119129721348837376,False,,0,,,,,,,,[],,,,
1118659671580000256,1118659671580000256,2019-04-17 23:37:04 UTC,2019-04-17,23:37:04,+0000,10550172,meigenbot,メイゲンボット,,"このポスターの裏はシールになっているという話だし、剥がしたのならもっとグチャグチャになるはずで、そうなっていないのなら、どこかに貼られていないものが落ちてたか、貼られた媒体ごと持ってきたか、あるいは""貼る前のものをなぜか入手""したか。",ja,[],[],[],0,1,4,[],[],https://twitter.com/meigenbot/status/1118659671580000256,False,https://twitter.com/lautream/status/1118384957104246786,0,,,,,,,,[],,,,
1118654728974372864,1118654728974372864,2019-04-17 23:17:25 UTC,2019-04-17,23:17:25,+0000,10550172,meigenbot,メイゲンボット,,怪しい。しかし我々１市民には怪しいと思う以上のことができないのでメディアは調査報道をしてほしい。 /  https://t.co/avAiCvEM23,ja,[],['https://htn.to/23zL7W2EqD'],[],0,0,1,[],[],https://twitter.com/meigenbot/status/1118654728974372864,False,,0,,,,,,,,[],,,,
1118420431604555777,1118420431604555777,2019-04-17 07:46:24 UTC,2019-04-17,07:46:24,+0000,10550172,meigenbot,メイゲンボット,,その上、デマゴーグとしてまとめサイトがこれを拡散するという構図。「屋良陣営を攻撃したくてやっています」、という風にしか見えない。誰がやったのかは分からないけど、全体を俯瞰してみると、怪しいのはどちらかというと、,ja,[],[],[],0,0,0,[],[],https://twitter.com/meigenbot/status/1118420431604555777,False,,0,,,,,,,,[],,,,
1118419673479933954,1118419673479933954,2019-04-17 07:43:24 UTC,2019-04-17,07:43:24,+0000,10550172,meigenbot,メイゲンボット,,このまとめを読むと、「誰がやったかもまだ分からないのに、なぜか屋良陣営の批判に繋げているのが自民党」、って評価にならざるを得ない。 /  https://t.co/SVlbXXE7ky,ja,[],['https://htn.to/4sFj5YDh2y'],[],0,1,0,[],[],https://twitter.com/meigenbot/status/1118419673479933954,False,,0,,,,,,,,[],,,,
1118418948096057344,1118418948096057344,2019-04-17 07:40:31 UTC,2019-04-17,07:40:31,+0000,10550172,meigenbot,メイゲンボット,,ここぞとばかりにアカウントを作って、第一回目のツイートがこれ。怪しすぎませんか。,ja,[],[],[],0,1,0,[],[],https://twitter.com/meigenbot/status/1118418948096057344,False,https://twitter.com/lautream/status/1118003111761629184,0,,,,,,,,[],,,,
1118416443777773568,1118416443777773568,2019-04-17 07:30:34 UTC,2019-04-17,07:30:34,+0000,10550172,meigenbot,メイゲンボット,,島尻氏を誹謗中傷するようなポスターに見せかけているが、分析すると屋良氏を陥れるためのポスターではないかという分析。当選が見込まれる屋良氏側にコストとリスクをかけてやる理由がないことが理由の一つ。 /  https://t.co/qfJRjf2Bit #基地 #政治 #自民党 #沖縄,ja,[],['https://htn.to/TZuogBzu6p'],[],0,1,2,"['基地', '政治', '自民党', '沖縄']",[],https://twitter.com/meigenbot/status/1118416443777773568,False,,0,,,,,,,,[],,,,
1118415205740896257,1118415205740896257,2019-04-17 07:25:38 UTC,2019-04-17,07:25:38,+0000,10550172,meigenbot,メイゲンボット,,この画像は決定的でしょう。どう考えても屋良陣営がこういうことをやるわけはない。となると、,ja,[],[],[],0,2,3,[],[],https://twitter.com/meigenbot/status/1118415205740896257,False,https://twitter.com/yanbarugurashi/status/1118022835224530945,0,,,,,,,,[],,,,
