id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1409065413829304320,1409065413829304320,2021-06-27 08:25:48 UTC,2021-06-27,08:25:48,+0000,253291817,marumegatntn,marumega 🔞,,フレに誘われてPS4版Rust購入 皆で木材や石取って家建てて狩猟して野菜植えて釜戸作ってようやく人間になれたと思ったら強襲くらって全ロスしてハゲラッコに逆戻りして笑い転げてる,ja,[],[],[],0,0,2,[],[],https://twitter.com/marumegatntn/status/1409065413829304320,False,,0,,,,,,,,[],,,,
1407451621978611713,1407451621978611713,2021-06-22 21:33:10 UTC,2021-06-22,21:33:10,+0000,253291817,marumegatntn,marumega 🔞,,今日もデイリーこなしていくぞー #PS4share   https://t.co/GtlJeVcGPj  https://t.co/WRGhGkY6wX,ja,[],['https://store.playstation.com/#!/ja-jp/tid=CUSA23678_00'],[],0,2,9,['ps4share'],[],https://twitter.com/marumegatntn/status/1407451621978611713,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1407450246515347460/pu/img/AoNWQBuimGNwV0Re.jpg,,,,,,,[],,,,
1407444360426229760,1407444360426229760,2021-06-22 21:04:19 UTC,2021-06-22,21:04:19,+0000,253291817,marumegatntn,marumega 🔞,,北斗たのしいかっこいい #PS4share  https://t.co/67pXszF8LD,ja,[],[],[],0,0,4,['ps4share'],[],https://twitter.com/marumegatntn/status/1407444360426229760,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1407444213604655106/pu/img/6Xoz8jjkiUrdjavt.jpg,,,,,,,[],,,,
1403664084172644355,1403664084172644355,2021-06-12 10:42:51 UTC,2021-06-12,10:42:51,+0000,253291817,marumegatntn,marumega 🔞,,ロマキャン主体だから超必警戒してないのか 空ダからの攻めが基本だからなのか 五所川原ぶっぱが刺さる刺さる  あたるぶっぱは読み,ja,[],[],[],0,0,0,[],[],https://twitter.com/marumegatntn/status/1403664084172644355,False,,0,,,,,,,,[],,,,
1403497553245532161,1403497553245532161,2021-06-11 23:41:07 UTC,2021-06-11,23:41:07,+0000,253291817,marumegatntn,marumega 🔞,,ギルティもバーチャもNGSも全部楽しい,ja,[],[],[],0,0,2,[],[],https://twitter.com/marumegatntn/status/1403497553245532161,False,,0,,,,,,,,[],,,,
1403474715948109825,1403474715948109825,2021-06-11 22:10:22 UTC,2021-06-11,22:10:22,+0000,253291817,marumegatntn,marumega 🔞,,8Fいけた #PS4share  https://t.co/8frrG8eYCP,ja,[],[],['https://pbs.twimg.com/media/E3okz2BUYAIObb2.jpg'],0,0,4,['ps4share'],[],https://twitter.com/marumegatntn/status/1403474715948109825,False,,1,https://pbs.twimg.com/media/E3okz2BUYAIObb2.jpg,,,,,,,[],,,,
1403295306045825028,1403295306045825028,2021-06-11 10:17:27 UTC,2021-06-11,10:17:27,+0000,253291817,marumegatntn,marumega 🔞,,あ、ギルティギア! #PS4share  https://t.co/19RI8yU8E4,ja,[],[],['https://pbs.twimg.com/media/E3mBo-yUYAgV0AA.jpg'],0,0,1,['ps4share'],[],https://twitter.com/marumegatntn/status/1403295306045825028,False,,1,https://pbs.twimg.com/media/E3mBo-yUYAgV0AA.jpg,,,,,,,[],,,,
1401514709585588231,1401514709585588231,2021-06-06 12:22:00 UTC,2021-06-06,12:22:00,+0000,253291817,marumegatntn,marumega 🔞,,ボタンガードも後ろガードもあっておまけにおっぱいまで付いてくるＤＯＡは神,ja,[],[],[],0,0,1,[],[],https://twitter.com/marumegatntn/status/1401514709585588231,False,,0,,,,,,,,[],,,,
1401514479628681216,1401514479628681216,2021-06-06 12:21:05 UTC,2021-06-06,12:21:05,+0000,253291817,marumegatntn,marumega 🔞,,バーチャでボタンガード苦手な人でＰＡＤ使ってる人はガードボタンをＲ1かＬ1に割り当てればアクションゲームやる感覚でガードできるんじゃないかな 知らんけど 斜め２回入力苦手な人はＬスティックで動かしてるなら十字キー操作に慣れると斜め入力やりやすくなるんじゃないかな 知らんけど,ja,[],[],[],0,0,0,[],[],https://twitter.com/marumegatntn/status/1401514479628681216,False,,0,,,,,,,,[],,,,
1400772370227294209,1400772370227294209,2021-06-04 11:12:12 UTC,2021-06-04,11:12:12,+0000,253291817,marumegatntn,marumega 🔞,,実際2Ｐ撃たれまくるから葵（当身キャラ）使ってる＞ＲＴ,ja,[],[],[],0,0,0,[],[],https://twitter.com/marumegatntn/status/1400772370227294209,False,,0,,,,,,,,[],,,,
