id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1410949999454683138,1410893788180992005,2021-07-02 13:14:28 UTC,2021-07-02,13:14:28,+0000,3294381732,ro_panpan1010,橋本 からあげ 🍛,,@sayumi21tennis いいね〜😘😘,ja,[],[],[],1,0,0,[],[],https://twitter.com/ro_panpan1010/status/1410949999454683138,False,,0,,,,,,,,"[{'screen_name': 'sayumi21tennis', 'name': '神戸アイドル向上委員長りこりこ', 'id': '266906697'}]",,,,
1410949960472825857,1410893788180992005,2021-07-02 13:14:19 UTC,2021-07-02,13:14:19,+0000,3294381732,ro_panpan1010,橋本 からあげ 🍛,,@srk_819 とぅき( ´•ᴗ•ก)՞ ՞,ja,[],[],[],1,0,0,[],[],https://twitter.com/ro_panpan1010/status/1410949960472825857,False,,0,,,,,,,,"[{'screen_name': 'srk_819', 'name': 'くも💭.', 'id': '939712450814910464'}]",,,,
1410949923294511106,1410893788180992005,2021-07-02 13:14:10 UTC,2021-07-02,13:14:10,+0000,3294381732,ro_panpan1010,橋本 からあげ 🍛,,@ken41130 ぬ、タコ食べたかった普通にラーメン食べた૮ o̴̶̷᷄ ·̫ o̴̶̷̥᷅ ა,ja,[],[],[],0,0,0,[],[],https://twitter.com/ro_panpan1010/status/1410949923294511106,False,,0,,,,,,,,"[{'screen_name': 'ken41130', 'name': 'けんけん/(トレプロ)KiREl/NEXT01ne/LeirA/まのんちゃん(🍄神田ちゃん殿堂入り', 'id': '2852643968'}]",,,,
1410949846677159943,1410893788180992005,2021-07-02 13:13:52 UTC,2021-07-02,13:13:52,+0000,3294381732,ro_panpan1010,橋本 からあげ 🍛,,@ryuu_ing 食べて爆睡してた今起きた絶望꜀(  ꜆-ࡇ-)꜆,ja,[],[],[],1,0,0,[],[],https://twitter.com/ro_panpan1010/status/1410949846677159943,False,,0,,,,,,,,"[{'screen_name': 'ryuu_ing', 'name': 'Rui…🍛', 'id': '884244793131282432'}]",,,,
1410949778234494982,1410893788180992005,2021-07-02 13:13:35 UTC,2021-07-02,13:13:35,+0000,3294381732,ro_panpan1010,橋本 からあげ 🍛,,@kazuya79817 うれぴー( ´•ᴗ•ก)՞ ՞,ja,[],[],[],0,0,0,[],[],https://twitter.com/ro_panpan1010/status/1410949778234494982,False,,0,,,,,,,,"[{'screen_name': 'kazuya79817', 'name': 'kz カズ', 'id': '2963706462'}]",,,,
1410949742578700288,1410893788180992005,2021-07-02 13:13:27 UTC,2021-07-02,13:13:27,+0000,3294381732,ro_panpan1010,橋本 からあげ 🍛,,@nanya_love728 てんきゅう( ^ω^ )♬♬( ^ω^ )♬♬( ^ω^ )♬♬,ja,[],[],[],0,0,1,[],[],https://twitter.com/ro_panpan1010/status/1410949742578700288,False,,0,,,,,,,,"[{'screen_name': 'nanya_love728', 'name': 'だいちゃん(低浮上気味)リムらんでね？', 'id': '4834260085'}]",,,,
1410896340591075328,1410893788180992005,2021-07-02 09:41:15 UTC,2021-07-02,09:41:15,+0000,3294381732,ro_panpan1010,橋本 からあげ 🍛,,@shizuku_agemon 御意  https://t.co/jycZAFU5u0,ja,[],[],['https://pbs.twimg.com/media/E5SCvZ6VUAY-PQO.jpg'],0,0,5,[],[],https://twitter.com/ro_panpan1010/status/1410896340591075328,False,,1,https://pbs.twimg.com/media/E5SCvZ6VUAY-PQO.jpg,,,,,,,"[{'screen_name': 'shizuku_agemon', 'name': '如月雫', 'id': '1361001520695627777'}]",,,,
1410893788180992005,1410893788180992005,2021-07-02 09:31:06 UTC,2021-07-02,09:31:06,+0000,3294381732,ro_panpan1010,橋本 からあげ 🍛,,今日は朝からロケ撮影とあげもん！ちゃんのレッスン行ってきた(◜𖥦◝)💙  へとへとだけど7月は楽しみがいっぱいだ〜、夜ご飯何食べよう〜🍜  https://t.co/dcbFHlZ7g1,ja,[],[],['https://pbs.twimg.com/media/E5SAa9jVkAAFMPr.jpg'],10,3,137,[],[],https://twitter.com/ro_panpan1010/status/1410893788180992005,False,,1,https://pbs.twimg.com/media/E5SAa9jVkAAFMPr.jpg,,,,,,,[],,,,
1407653307343020038,1407636919203233792,2021-06-23 10:54:36 UTC,2021-06-23,10:54:36,+0000,3294381732,ro_panpan1010,橋本 からあげ 🍛,,@GdH2y お供します😗,ja,[],[],[],1,0,1,[],[],https://twitter.com/ro_panpan1010/status/1407653307343020038,False,,0,,,,,,,,"[{'screen_name': 'GdH2y', 'name': 'ピア🍜🍥', 'id': '761794840560476160'}]",,,,
1407653267891396624,1407636919203233792,2021-06-23 10:54:26 UTC,2021-06-23,10:54:26,+0000,3294381732,ro_panpan1010,橋本 からあげ 🍛,,@mskyn33 美味しそ〜(..¯﹃¯ ..),ja,[],[],[],0,0,1,[],[],https://twitter.com/ro_panpan1010/status/1407653267891396624,False,,0,,,,,,,,"[{'screen_name': 'mskyn33', 'name': 'ま༯さ༯坊༯', 'id': '1051668600401027072'}]",,,,
