id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1413983847713103872,1413983847713103872,2021-07-10 22:09:54 UTC,2021-07-10,22:09:54,+0000,96711841,hiroyomatsumoto,松本浩代,,アメブロを投稿しました。 『本日の売店情報！』 #アメブロ #松本浩代#OZアカデミー   https://t.co/eWfSKESq5q,ja,[],['https://ameblo.jp/hiroyo-hakai-no1/entry-12094663320.html'],[],0,3,27,['アメブロ'],[],https://twitter.com/hiroyomatsumoto/status/1413983847713103872,False,,0,,,,,,,,[],,,,
1413881989640249345,1413881989640249345,2021-07-10 15:25:09 UTC,2021-07-10,15:25:09,+0000,96711841,hiroyomatsumoto,松本浩代,,この時を待ってました…！！！  [ニュース]ZERO1新機軸「栃木プロレス」旗揚げ戦にアジャ参戦＆爆女王戦へ(21/07/11 00:08)｜週刊プロレス  https://t.co/dAdo6JGHMi,ja,[],['https://wp.bbm-mobile.com/sp2/News/Detail.asp?n=117072'],[],0,3,35,[],[],https://twitter.com/hiroyomatsumoto/status/1413881989640249345,False,,0,,,,,,,,[],,,,
1413846085030662152,1413846085030662152,2021-07-10 13:02:29 UTC,2021-07-10,13:02:29,+0000,96711841,hiroyomatsumoto,松本浩代,,松本浩代ネットショップ「ROCK  DROP」はコチラ→  https://t.co/kqlxYkpbHL #松本浩代　#ROCKDROP,ja,[],['https://rockdrop.stores.jp/'],[],0,0,8,"['松本浩代', 'rockdrop']",[],https://twitter.com/hiroyomatsumoto/status/1413846085030662152,False,,0,,,,,,,,[],,,,
1413827986046947338,1413827986046947338,2021-07-10 11:50:34 UTC,2021-07-10,11:50:34,+0000,96711841,hiroyomatsumoto,松本浩代,,先生、いつもステキなデザインありがとうございます😆,ja,[],[],[],0,2,19,[],[],https://twitter.com/hiroyomatsumoto/status/1413827986046947338,False,https://twitter.com/somemarusan/status/1413819347563282440,0,,,,,,,,[],,,,
1413813766328705027,1413813766328705027,2021-07-10 10:54:03 UTC,2021-07-10,10:54:03,+0000,96711841,hiroyomatsumoto,松本浩代,,アメブロを投稿しました。 『15周年記念グッズ情報』 #アメブロ #松本浩代   https://t.co/svlK3DKIYr,ja,[],['https://ameblo.jp/hiroyo-hakai-no1/entry-12685617579.html'],[],1,4,22,"['アメブロ', '松本浩代']",[],https://twitter.com/hiroyomatsumoto/status/1413813766328705027,False,,0,,,,,,,,[],,,,
1413810504963805184,1413810504963805184,2021-07-10 10:41:06 UTC,2021-07-10,10:41:06,+0000,96711841,hiroyomatsumoto,松本浩代,,さらにNewキーホルダーも新発売😆🌟  リアル15周年の7/16には毎年恒例のスペシャルグッズを発売予定です！ 期待度特大です🙌😋  https://t.co/Fjw9zlj6PJ,ja,[],[],"['https://pbs.twimg.com/media/E57dKOFVUAIlgKl.jpg', 'https://pbs.twimg.com/media/E57dKPWUUAAAmYv.jpg']",1,3,33,[],[],https://twitter.com/hiroyomatsumoto/status/1413810504963805184,False,,1,https://pbs.twimg.com/media/E57dKOFVUAIlgKl.jpg,,,,,,,[],,,,
1413809069169647617,1413809069169647617,2021-07-10 10:35:24 UTC,2021-07-10,10:35:24,+0000,96711841,hiroyomatsumoto,松本浩代,,明日のOZアカデミーより、 デビュー15周年記念グッズ 「15 puzzle Tee」¥3500と「15puzzle トートバッグ」¥3300 発売します😆  記念グッズをお買い上げのお客様、先着順で巨大記念缶バッジをプレゼント🎁 ぜひ売店にお立ち寄りください！  #松本浩代  https://t.co/uEX6IS3MKK,ja,[],[],"['https://pbs.twimg.com/media/E57b2k0VgAEruYs.jpg', 'https://pbs.twimg.com/media/E57b2lgVIAEwYXo.jpg', 'https://pbs.twimg.com/media/E57b2lpVcAQ0Rc5.jpg']",1,8,55,['松本浩代'],[],https://twitter.com/hiroyomatsumoto/status/1413809069169647617,False,,1,https://pbs.twimg.com/media/E57b2k0VgAEruYs.jpg,,,,,,,[],,,,
1413807224695128065,1413807224695128065,2021-07-10 10:28:04 UTC,2021-07-10,10:28:04,+0000,96711841,hiroyomatsumoto,松本浩代,,明日の夜は　#OZアカデミー！  #獣友　が暴れんぞーーーー🔥 尾崎ぶっ飛ばす！！！ポリスぶっ飛ばす！！！  配信はコチラ⬇️  https://t.co/raKV43gAEQ,ja,[],['https://www.mahocast.com/at/live/1149/7125'],[],1,3,27,"['ozアカデミー', '獣友']",[],https://twitter.com/hiroyomatsumoto/status/1413807224695128065,False,https://twitter.com/info_ozacademy/status/1412916607945297922,0,,,,,,,,[],,,,
1413806095026380804,1413806095026380804,2021-07-10 10:23:34 UTC,2021-07-10,10:23:34,+0000,96711841,hiroyomatsumoto,松本浩代,,明日！ 宮崎さん、すごく久しぶりの対戦！燃える🔥 KAORUさん、引退前最後の仙女参戦！必ず勝利を…！  配信はコチラ⬇️  https://t.co/STyct72Qwf  #仙女  https://t.co/i7lzKvkwsZ,ja,[],['https://sendaigirlspro.zaiko.io/_buy/1qNB:Rx:4304d'],['https://pbs.twimg.com/media/E57ZJi3VEAE3B25.jpg'],0,2,32,['仙女'],[],https://twitter.com/hiroyomatsumoto/status/1413806095026380804,False,,1,https://pbs.twimg.com/media/E57ZJi3VEAE3B25.jpg,,,,,,,[],,,,
1413508438605238284,1413508438605238284,2021-07-09 14:40:48 UTC,2021-07-09,14:40:48,+0000,96711841,hiroyomatsumoto,松本浩代,,仙女15周年記念大会 KAORU選手引退前ラスト仙台  #仙女　#KAORU  https://t.co/TzUO5JZYcE,ja,[],['https://www.instagram.com/p/CRHDE2aJEF4/?utm_medium=twitter'],[],0,2,44,"['仙女', 'kaoru']",[],https://twitter.com/hiroyomatsumoto/status/1413508438605238284,False,,0,,,,,,,,[],,,,
1413493332274147337,1413493332274147337,2021-07-09 13:40:46 UTC,2021-07-09,13:40:46,+0000,96711841,hiroyomatsumoto,松本浩代,,#仙女　15周年大会ありがとうございました！ 仙女が生まれた年に私も生まれた。 同じだけの時間を共にして、沢山のライバルに出会えたから今がある。 これからも出会うライバル達全員ぶっ飛ばしながら生きていきます🔥  15周年の日に頂いた徳島ラーメン人生は格別🍜❤️  https://t.co/wJFX3iCzq2,ja,[],[],['https://pbs.twimg.com/media/E528r-iVoAEz9hy.jpg'],2,10,169,['仙女'],[],https://twitter.com/hiroyomatsumoto/status/1413493332274147337,False,,1,https://pbs.twimg.com/media/E528r-iVoAEz9hy.jpg,,,,,,,[],,,,
1413483829814206469,1413483829814206469,2021-07-09 13:03:00 UTC,2021-07-09,13:03:00,+0000,96711841,hiroyomatsumoto,松本浩代,,松本浩代ネットショップ「ROCK  DROP」はコチラ→  https://t.co/kqlxYkpbHL #松本浩代　#ROCKDROP,ja,[],['https://rockdrop.stores.jp/'],[],0,1,7,"['松本浩代', 'rockdrop']",[],https://twitter.com/hiroyomatsumoto/status/1413483829814206469,False,,0,,,,,,,,[],,,,
1413306851744129024,1413306851744129024,2021-07-09 01:19:46 UTC,2021-07-09,01:19:46,+0000,96711841,hiroyomatsumoto,松本浩代,,行くぜ仙台！！  #仙女  https://t.co/3OzQMlJwxc,ja,[],[],['https://pbs.twimg.com/media/E50TFqQUYAEVID1.jpg'],1,2,69,['仙女'],[],https://twitter.com/hiroyomatsumoto/status/1413306851744129024,False,,1,https://pbs.twimg.com/media/E50TFqQUYAEVID1.jpg,,,,,,,[],,,,
1413106940276662272,1413106940276662272,2021-07-08 12:05:23 UTC,2021-07-08,12:05:23,+0000,96711841,hiroyomatsumoto,松本浩代,,9日仙台！11日後楽園！ 仙女参戦🔥  KAORU選手、引退前ラスト仙台！ラスト仙女。 両大会とも組ませて頂きます！  しっかり感謝が伝えられるように、ガッチリ勝ちます🔥  #仙女  https://t.co/7gqT0vYMb6,ja,[],[],"['https://pbs.twimg.com/media/E5xdRUrVgAcqZv6.jpg', 'https://pbs.twimg.com/media/E5xdRVkUUAAGbka.jpg']",0,12,128,['仙女'],[],https://twitter.com/hiroyomatsumoto/status/1413106940276662272,False,,1,https://pbs.twimg.com/media/E5xdRUrVgAcqZv6.jpg,,,,,,,[],,,,
1412973414445289473,1412973414445289473,2021-07-08 03:14:48 UTC,2021-07-08,03:14:48,+0000,96711841,hiroyomatsumoto,松本浩代,,本日パイルドライバーしゅっきーーーん⭐︎,ja,[],[],[],1,3,70,[],[],https://twitter.com/hiroyomatsumoto/status/1412973414445289473,False,https://twitter.com/_piledriver_/status/1412728105198891009,0,,,,,,,,[],,,,
1412558211450761222,1412558211450761222,2021-07-06 23:44:56 UTC,2021-07-06,23:44:56,+0000,96711841,hiroyomatsumoto,松本浩代,,七夕🌟  今年もひらつか七夕まつりは開催出来なかったけど、飾りはたくさん飾られたみたい🎋🎋🎋🎋🎋✨ 癒されますなぁ…😆  https://t.co/KtNpYx4d90 #平塚　#七夕,ja,[],['https://instagram.com/sorapro77?utm_medium=copy_link'],[],2,5,109,"['平塚', '七夕']",[],https://twitter.com/hiroyomatsumoto/status/1412558211450761222,False,,0,,,,,,,,[],,,,
1412341937781182481,1412341937781182481,2021-07-06 09:25:32 UTC,2021-07-06,09:25:32,+0000,96711841,hiroyomatsumoto,松本浩代,,新発売⁉️🤣🍛  #素敵なプレゼント #頂きました　#ThankYou  https://t.co/P7jN4x2h3l,ja,[],[],['https://pbs.twimg.com/media/E5mlgZIVgAApI6b.jpg'],3,6,193,"['素敵なプレゼント', '頂きました', 'thankyou']",[],https://twitter.com/hiroyomatsumoto/status/1412341937781182481,False,,1,https://pbs.twimg.com/media/E5mlgZIVgAApI6b.jpg,,,,,,,[],,,,
1411969412534390784,1411969412534390784,2021-07-05 08:45:15 UTC,2021-07-05,08:45:15,+0000,96711841,hiroyomatsumoto,松本浩代,,アメブロを投稿しました。 『松本浩代応援シートのお知らせ』 #アメブロ #松本浩代#OZアカデミー   https://t.co/qReAEFT9qr,ja,[],['https://ameblo.jp/hiroyo-hakai-no1/entry-12684676478.html'],[],0,3,46,['アメブロ'],[],https://twitter.com/hiroyomatsumoto/status/1411969412534390784,False,,0,,,,,,,,[],,,,
1411837606065704969,1411837606065704969,2021-07-05 00:01:30 UTC,2021-07-05,00:01:30,+0000,96711841,hiroyomatsumoto,松本浩代,,"Hiroyo Matsumoto ""Pro Wrestling Tee""  https://t.co/BiwJdKmV66",tl,[],['https://www.prowrestlingtees.com/wrestler-t-shirts/hiroyomatsumoto.html'],[],0,1,18,[],[],https://twitter.com/hiroyomatsumoto/status/1411837606065704969,False,,0,,,,,,,,[],,,,
1411705076670898179,1411705076670898179,2021-07-04 15:14:53 UTC,2021-07-04,15:14:53,+0000,96711841,hiroyomatsumoto,松本浩代,,倒せるもんなら倒してみろ！！  8/9 横浜武道館まであと約1か月。 タッグ、シングル。両方巻く。 #iceribbon  https://t.co/NU7090bqk8,ja,[],[],"['https://pbs.twimg.com/media/E5diSI8VoAoWdtG.jpg', 'https://pbs.twimg.com/media/E5diSJCVcAQ2R4g.jpg']",0,7,99,['iceribbon'],[],https://twitter.com/hiroyomatsumoto/status/1411705076670898179,False,,1,https://pbs.twimg.com/media/E5diSI8VoAoWdtG.jpg,,,,,,,[],,,,
